timeStamp,elapsed,label,responseCode,threadName,success,bytes,grpThreads,allThreads,Latency
1351850555041,554,T_Open Startpage,200,Ramp-up 1-1,true,14096,1,1,0
1351850558060,22,T_Open Startpage,200,Ramp-up 1-2,true,14096,2,2,0
1351850561068,11,T_Open Startpage,200,Ramp-up 1-3,true,14096,3,3,0
1351850564085,9,T_Open Startpage,200,Ramp-up 1-4,true,14096,4,4,0
1351850555617,202,T_Enter credentials,200,Ramp-up 1-1,true,14945,4,4,0
1351850558084,248,T_Enter credentials,200,Ramp-up 1-2,true,14945,4,4,0
1351850567099,11,T_Open Startpage,200,Ramp-up 1-5,true,14096,5,5,0
1351850570115,9,T_Open Startpage,200,Ramp-up 1-6,true,14096,6,6,0
1351850561082,190,T_Enter credentials,200,Ramp-up 1-3,true,14945,6,6,0
1351850567016,64,T_Delivery select ,200,Ramp-up 1-2,true,34649,6,6,0
1351850573142,52,T_Open Startpage,200,Ramp-up 1-7,true,14096,7,7,0
1351850564096,143,T_Enter credentials,200,Ramp-up 1-4,true,14945,7,7,0
1351850565815,289,T_Take-out select,200,Ramp-up 1-1,true,19411,7,7,0
1351850567112,166,T_Enter credentials,200,Ramp-up 1-5,true,14945,7,7,0
1351850576149,10,T_Open Startpage,200,Ramp-up 1-8,true,14096,8,8,0
1351850576149,10,T_Open Startpage,500,Ramp-up 1-8,false,14096,8,8,0
1351850570126,141,T_Enter credentials,200,Ramp-up 1-6,true,14945,8,8,0
1351850573196,131,T_Enter credentials,200,Ramp-up 1-7,true,14945,8,8,0
1351850570753,58,T_Delivery select ,200,Ramp-up 1-3,true,34649,8,8,0
1351850579204,42,T_Open Startpage,200,Ramp-up 1-9,true,14096,9,9,0
1351850574897,143,T_Delivery select ,200,Ramp-up 1-5,true,34649,9,9,0
1351850574330,351,T_Chose Province,200,Ramp-up 1-1,true,251167,9,9,0
1351850576160,255,T_Enter credentials,200,Ramp-up 1-8,true,14945,9,9,0
1351850582221,8,T_Open Startpage,200,Ramp-up 1-10,true,14096,10,10,0
1351850572827,3478,T_Select adress,200,Ramp-up 1-2,true,21045,10,10,0
1351850573236,60,T_Delivery select ,200,Ramp-up 1-4,true,34649,10,10,0
1351850578753,81,T_Delivery select ,200,Ramp-up 1-7,true,34649,10,10,0
1351850578908,871,T_Select adress,200,Ramp-up 1-3,true,21045,10,10,0
1351850585234,9,T_Open Startpage,200,Ramp-up 1-11,true,14096,11,11,0
1351850578246,61,T_Delivery select ,200,Ramp-up 1-6,true,34649,11,11,0
1351850582232,143,T_Enter credentials,200,Ramp-up 1-10,true,14945,11,11,0
1351850582586,256,T_Select time,200,Ramp-up 1-2,true,38001,11,11,0
1351850588235,9,T_Open Startpage,200,Ramp-up 1-12,true,14096,12,12,0
1351850579248,253,T_Enter credentials,200,Ramp-up 1-9,true,14945,12,12,0
1351850580076,863,T_Select adress,200,Ramp-up 1-5,true,21045,12,12,0
1351850585080,306,T_Select time,200,Ramp-up 1-3,true,38001,12,12,0
1351850591248,9,T_Open Startpage,200,Ramp-up 1-13,true,14096,13,13,0
1351850582081,50,T_Delivery select ,200,Ramp-up 1-8,true,34649,13,13,0
1351850583053,707,T_Select adress,200,Ramp-up 1-4,true,21045,13,13,0
1351850585246,133,T_Enter credentials,200,Ramp-up 1-11,true,14945,13,13,0
1351850587449,86,T_Delivery select ,200,Ramp-up 1-10,true,34649,13,13,0
1351850584376,916,T_Select adress,200,Ramp-up 1-7,true,21045,13,13,0
1351850594268,7,T_Open Startpage,200,Ramp-up 1-14,true,14096,14,14,0
1351850587251,934,T_Select adress,200,Ramp-up 1-6,true,21045,14,14,0
1351850588246,200,T_Enter credentials,200,Ramp-up 1-12,true,14945,14,14,0
1351850589653,235,T_Select time,200,Ramp-up 1-5,true,38001,14,14,0
1351850589087,271,T_Take-out select,200,Ramp-up 1-9,true,19403,14,14,0
1351850591566,230,T_Take-out select,200,Ramp-up 1-11,true,19411,14,14,0
1351850597279,8,T_Open Startpage,200,Ramp-up 1-15,true,14096,15,15,0
1351850591258,136,T_Enter credentials,200,Ramp-up 1-13,true,14945,15,15,0
1351850581590,355,T_Select restaraunt,200,Ramp-up 1-1,true,20272,15,15,0
1351850591420,206,T_Select time,200,Ramp-up 1-4,true,38001,15,15,0
1351850591340,715,T_Select adress,200,Ramp-up 1-8,true,21045,15,15,0
1351850594276,154,T_Enter credentials,200,Ramp-up 1-14,true,14945,15,15,0
1351850600299,10,T_Open Startpage,200,Ramp-up 1-16,true,14096,16,16,0
1351850594303,273,T_Select time,200,Ramp-up 1-6,true,38001,16,16,0
1351850593576,721,T_Select adress,200,Ramp-up 1-10,true,21045,16,16,0
1351850597341,51,T_Delivery select ,200,Ramp-up 1-13,true,34649,16,16,0
1351850594744,54,T_Delivery select ,200,Ramp-up 1-12,true,34649,16,16,0
1351850596533,371,T_Chose Province,200,Ramp-up 1-9,true,251167,16,16,0
1351850597390,243,T_Select time,200,Ramp-up 1-1,true,37627,16,16,0
1351850603299,8,T_Open Startpage,200,Ramp-up 1-17,true,14096,17,17,0
1351850597289,159,T_Enter credentials,200,Ramp-up 1-15,true,14945,17,17,0
1351850594100,275,T_Select time,200,Ramp-up 1-7,true,38001,17,17,0
1351850598042,251,T_Select time,200,Ramp-up 1-8,true,38001,17,17,0
1351850597194,367,T_Chose Province,200,Ramp-up 1-11,true,251167,17,17,0
1351850606314,16,T_Open Startpage,200,Ramp-up 1-18,true,14096,18,18,0
1351850606499,170,Add_Item,200,Ramp-up 1-2,true,64927,18,18,0
1351850600310,208,T_Enter credentials,200,Ramp-up 1-16,true,14945,18,18,0
1351850599837,343,T_Take-out select,200,Ramp-up 1-14,true,19406,18,18,0
1351850602493,1663,T_Select adress,200,Ramp-up 1-13,true,21045,18,18,0
1351850609323,7,T_Open Startpage,200,Ramp-up 1-19,true,14096,19,19,0
1351850603308,133,T_Enter credentials,200,Ramp-up 1-17,true,14945,19,19,0
1351850602763,962,T_Select adress,200,Ramp-up 1-12,true,21045,19,19,0
1351850603824,224,T_Take-out select,200,Ramp-up 1-15,true,19394,19,19,0
1351850611865,207,Add_Item,200,Ramp-up 1-5,true,65111,19,19,0
1351850612345,18,T_Open Startpage,200,Ramp-up 1-20,true,14096,20,20,0
1351850602312,232,T_Select time,200,Ramp-up 1-10,true,38001,20,20,0
1351850612691,156,Add_Item,200,Ramp-up 1-4,true,64927,20,20,0
1351850612829,211,Add_Item,200,Ramp-up 1-3,true,64927,20,20,0
1351850607127,93,T_Delivery select ,200,Ramp-up 1-16,true,34649,20,20,0
1351850606332,226,T_Enter credentials,200,Ramp-up 1-18,true,14945,20,20,0
1351850615345,10,T_Open Startpage,200,Ramp-up 1-21,true,14096,21,21,0
1351850609720,71,T_Delivery select ,200,Ramp-up 1-17,true,34649,21,21,0
1351850609332,150,T_Enter credentials,200,Ramp-up 1-19,true,14945,21,21,0
1351850610877,302,T_Chose Province,200,Ramp-up 1-15,true,251167,21,21,0
1351850609238,206,T_Select time,200,Ramp-up 1-13,true,38001,21,21,0
1351850609022,346,T_Chose Province,200,Ramp-up 1-14,true,251167,21,21,0
1351850609903,197,T_Select time,200,Ramp-up 1-12,true,38001,21,21,0
1351850618354,9,T_Open Startpage,200,Ramp-up 1-22,true,14087,22,22,0
1351850612364,155,T_Enter credentials,200,Ramp-up 1-20,true,14945,22,22,0
1351850621376,10,T_Open Startpage,200,Ramp-up 1-23,true,14096,23,23,0
1351850622096,176,Add_Item,200,Ramp-up 1-5,true,72300,23,23,0
1351850614058,1437,T_Select adress,200,Ramp-up 1-16,true,21045,23,23,0
1351850623935,190,Add_Item,200,Ramp-up 1-7,true,64927,23,23,0
1351850615124,65,T_Delivery select ,200,Ramp-up 1-18,true,34649,23,23,0
1351850624067,273,Add_Item,200,Ramp-up 1-8,true,109123,23,23,0
1351850624438,9,T_Open Startpage,200,Ramp-up 1-24,true,14096,24,24,0
1351850604461,388,T_Select restaraunt,200,Ramp-up 1-11,true,20272,24,24,0
1351850624619,235,Add_Item,200,Ramp-up 1-2,true,120204,24,24,0
1351850615356,231,T_Enter credentials,200,Ramp-up 1-21,true,14945,24,24,0
1351850616317,263,T_Take-out select,200,Ramp-up 1-19,true,19402,24,24,0
1351850618808,50,T_Delivery select ,200,Ramp-up 1-20,true,34649,24,24,0
1351850615902,744,T_Select adress,200,Ramp-up 1-17,true,21045,24,24,0
1351850626040,146,Add_Item,200,Ramp-up 1-1,true,65907,24,24,0
1351850626254,199,Add_Item,200,Ramp-up 1-6,true,109123,24,24,0
1351850621387,146,T_Enter credentials,200,Ramp-up 1-23,true,14945,24,24,0
1351850618365,152,T_Enter credentials,200,Ramp-up 1-22,true,14945,24,24,0
1351850627454,8,T_Open Startpage,200,Ramp-up 1-25,true,14096,25,25,0
1351850628605,218,Add_Item,200,Ramp-up 1-13,true,109123,25,25,0
1351850617440,497,T_Select restaraunt,200,Ramp-up 1-15,true,20272,25,25,0
1351850630470,7,T_Open Startpage,200,Ramp-up 1-26,true,14096,26,26,0
1351850603010,365,T_Select restaraunt,200,Ramp-up 1-9,true,20272,26,26,0
1351850624548,202,T_Select time,200,Ramp-up 1-11,true,37627,26,26,0
1351850625102,55,T_Delivery select ,200,Ramp-up 1-21,true,34649,26,26,0
1351850625197,1511,T_Select adress,200,Ramp-up 1-20,true,21045,26,26,0
1351850625662,280,T_Select time,200,Ramp-up 1-17,true,38001,26,26,0
1351850623852,265,T_Select time,200,Ramp-up 1-16,true,38001,26,26,0
1351850627143,291,T_Take-out select,200,Ramp-up 1-22,true,19392,26,26,0
1351850633485,10,T_Open Startpage,200,Ramp-up 1-27,true,14096,27,27,0
1351850624448,142,T_Enter credentials,200,Ramp-up 1-24,true,14945,27,27,0
1351850624242,669,T_Select adress,200,Ramp-up 1-18,true,21045,27,27,0
1351850627464,136,T_Enter credentials,200,Ramp-up 1-25,true,14945,27,27,0
1351850625143,329,T_Chose Province,200,Ramp-up 1-19,true,251167,27,27,0
1351850617746,427,T_Select restaraunt,200,Ramp-up 1-14,true,20272,27,27,0
1351850626821,59,T_Delivery select ,200,Ramp-up 1-23,true,34649,27,27,0
1351850630444,293,T_Select time,200,Ramp-up 1-15,true,37627,27,27,0
1351850636501,9,T_Open Startpage,200,Ramp-up 1-28,true,14096,28,28,0
1351850631653,720,T_Select adress,200,Ramp-up 1-21,true,21045,28,28,0
1351850630772,203,T_Select time,200,Ramp-up 1-9,true,37627,28,28,0
1351850630478,139,T_Enter credentials,200,Ramp-up 1-26,true,14945,28,28,0
1351850638818,206,Add_Item,200,Ramp-up 1-1,true,72074,28,28,0
1351850639501,9,T_Open Startpage,200,Ramp-up 1-29,true,14096,29,29,0
1351850632717,249,T_Select time,200,Ramp-up 1-20,true,38001,29,29,0
1351850639728,148,Add_Item,200,Ramp-up 1-10,true,64927,29,29,0
1351850635001,261,T_Select time,200,Ramp-up 1-14,true,37627,29,29,0
1351850640754,159,Add_Item,200,Ramp-up 1-3,true,72318,29,29,0
1351850635768,664,T_Select adress,200,Ramp-up 1-23,true,21045,29,29,0
1351850633291,288,T_Chose Province,200,Ramp-up 1-22,true,251167,29,29,0
1351850633496,125,T_Enter credentials,200,Ramp-up 1-27,true,14945,29,29,0
1351850634409,269,T_Take-out select,200,Ramp-up 1-25,true,19397,29,29,0
1351850633912,217,T_Select time,200,Ramp-up 1-18,true,38001,29,29,0
1351850642385,122,Add_Item,200,Ramp-up 1-4,true,72318,29,29,0
1351850642518,7,T_Open Startpage,200,Ramp-up 1-30,true,14096,30,30,0
1351850633754,54,T_Delivery select ,200,Ramp-up 1-24,true,34649,30,30,0
1351850636511,135,T_Enter credentials,200,Ramp-up 1-28,true,14945,30,30,0
1351850644686,162,Add_Item,200,Ramp-up 1-12,true,65111,30,30,0
1351850645531,8,T_Open Startpage,200,Ramp-up 1-31,true,14096,31,31,0
1351850637676,219,T_Select time,200,Ramp-up 1-21,true,38001,31,31,0
1351850639026,287,T_Checkout,,Ramp-up 1-1,false,31613,31,31,0
1351850638864,56,T_Delivery select ,200,Ramp-up 1-26,true,34649,31,31,0
1351850647803,223,Add_Item,200,Ramp-up 1-5,true,76780,31,31,0
1351850634781,372,T_Select restaraunt,200,Ramp-up 1-19,true,20272,31,31,0
1351850642152,285,T_Chose Province,200,Ramp-up 1-25,true,251167,31,31,0
1351850642526,155,T_Enter credentials,200,Ramp-up 1-30,true,14945,31,31,0
1351850648548,17,T_Open Startpage,200,Ramp-up 1-32,true,14096,32,32,0
1351850639511,221,T_Enter credentials,200,Ramp-up 1-29,true,14945,32,32,0
1351850641531,225,T_Select time,200,Ramp-up 1-23,true,38001,32,32,0
1351850649830,241,Add_Item,200,Ramp-up 1-8,true,72300,32,32,0
1351850643298,48,T_Delivery select ,200,Ramp-up 1-28,true,34649,32,32,0
1351850641746,54,T_Delivery select ,200,Ramp-up 1-27,true,34649,32,32,0
1351850650493,242,Add_Item,200,Ramp-up 1-2,true,126404,32,32,0
1351850651245,132,Add_Item,200,Ramp-up 1-6,true,72484,32,32,0
1351850642610,1423,T_Select adress,200,Ramp-up 1-24,true,21045,32,32,0
1351850651564,8,T_Open Startpage,200,Ramp-up 1-33,true,14096,33,33,0
1351850651593,212,Add_Item,200,Ramp-up 1-7,true,120204,33,33,0
1351850652170,220,Add_Item,200,Ramp-up 1-17,true,109123,33,33,0
1351850652307,121,Add_Item,200,Ramp-up 1-14,true,65907,33,33,0
1351850653000,165,Add_Item,200,Ramp-up 1-15,true,65907,33,33,0
1351850645541,143,T_Enter credentials,200,Ramp-up 1-31,true,14945,33,33,0
1351850653792,227,Add_Item,200,Ramp-up 1-16,true,64927,33,33,0
1351850646903,96,T_Logout,200,Ramp-up 1-1,true,13992,33,33,0
1351850654268,8,T_Open Startpage,200,Ramp-up 1-1,true,14096,33,33,0
1351850648475,68,T_Delivery select ,200,Ramp-up 1-30,true,34649,33,33,0
1351850654564,8,T_Open Startpage,200,Ramp-up 1-34,true,14096,34,34,0
1351850649072,53,T_Delivery select ,200,Ramp-up 1-29,true,34649,34,34,0
